Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk
Mr_IWillThrowIt.txt	1	3999	41.10	37.72	40.49	11.28	20.10	16.50	78.62	6.38	2.60	3.73	0.18	2.95	0.20	9.03	0.58	0.58	1.28	0.98	4.13	1.83	0.50	1.28	0.63	6.30	2.13	0.90	1.73	1.38	0.45
BabyJuan209.txt	1	3434	55.78	36.89	62.90	33.30	18.77	15.61	80.31	8.42	4.43	3.99	0.17	2.39	0.61	8.88	0.87	0.67	0.82	0.99	5.36	1.83	0.79	0.87	1.89	6.99	2.33	0.87	2.21	1.81	0.50
craigJOONson.txt	1	576	65.93	60.95	45.44	71.41	41.14	17.71	66.49	6.25	4.34	1.91	0.17	0.35	0.17	6.42	0.17	0.52	0.35	0.87	2.78	0.87	0.35	1.04	0.87	5.90	1.91	0.87	1.39	1.91	0.69
SlippySoTrippy.txt	1	1755	61.82	56.57	38.94	63.58	30.26	15.33	70.20	7.75	4.84	2.85	0.17	1.37	0.40	7.35	0.46	0.34	0.57	0.68	3.48	0.91	0.74	0.80	0.74	5.98	1.71	0.91	1.94	1.60	0.40
LaneMartin6.txt	1	4107	42.88	63.15	33.57	31.59	21.50	16.92	75.16	7.16	3.73	3.38	0.17	2.31	0.24	11.35	0.54	0.58	0.78	1.36	2.29	0.78	0.32	0.41	0.63	7.04	2.61	1.17	1.87	1.80	0.39
cawwwtney.txt	1	4108	41.42	38.03	73.30	54.18	24.75	17.06	81.69	7.45	4.43	2.92	0.17	1.39	0.83	8.67	0.61	0.39	0.71	0.63	3.87	1.10	0.83	0.46	1.19	6.82	1.95	1.39	2.02	1.48	0.56
JesusYouCanSEE.txt	1	12563	44.39	15.41	74.22	17.24	220.40	10.62	82.27	6.93	3.14	3.73	0.17	2.47	0.41	7.03	0.82	0.30	1.03	0.91	4.89	2.11	0.83	0.47	1.40	7.34	1.41	1.46	2.21	2.57	0.31
yufckinlovebre.txt	1	4811	27.11	27.96	57.38	53.93	28.13	13.12	80.21	9.52	5.47	3.97	0.17	2.60	0.29	8.63	0.73	0.67	0.73	1.58	3.72	1.70	0.62	0.48	0.83	6.26	1.83	0.85	1.60	1.95	0.48
SMOKEme__imDRO.txt	1	8515	59.36	54.94	17.46	46.55	24.61	15.51	64.11	5.41	3.24	2.11	0.16	1.05	0.15	8.68	0.36	0.83	1.01	0.46	1.76	0.94	0.22	0.22	0.28	4.69	1.32	0.49	1.69	1.13	0.33
Jerettp.txt	1	11672	62.71	51.78	40.75	40.06	32.88	13.72	73.89	7.33	4.04	3.24	0.16	2.24	0.38	8.93	0.87	0.36	0.41	2.06	3.20	0.93	0.35	1.35	0.40	7.89	2.78	1.27	2.41	2.18	0.38
bathsalt_elixir.txt	1	3081	52.65	35.07	48.05	16.08	43.39	15.32	79.68	6.26	2.76	3.44	0.16	1.98	0.65	8.44	0.58	0.78	0.58	1.49	6.39	2.11	0.84	1.20	2.56	6.85	1.82	1.33	1.98	2.11	0.32
toobvdd.txt	1	2469	57.26	39.45	44.24	57.94	45.72	16.61	74.28	7.05	4.37	2.67	0.16	1.58	0.24	7.45	0.41	0.93	0.85	0.69	3.20	1.26	0.57	0.57	1.01	5.95	1.42	1.05	2.27	1.90	0.36
