Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	drives	affiliation	achieve	power	reward	risk
BeardgangAlexxx.txt	1	1943	49.90	35.34	78.75	19.61	15.42	13.95	78.38	4.99	2.26	2.68	0.26	1.34	0.51	8.03	0.67	0.21	0.46	0.57	7.21	1.60	1.44	2.37	1.90	0.51
bigislandtlc.txt	1	9972	86.29	47.31	13.68	2.35	15.93	26.34	62.41	6.23	1.71	4.40	0.80	0.31	2.52	3.43	0.36	0.10	0.31	0.20	6.32	0.89	2.46	2.12	0.64	0.96
bluefeathers7.txt	1	5367	56.73	42.82	37.21	16.45	11.77	17.89	75.89	8.35	3.84	4.49	0.20	3.43	0.28	8.59	0.35	0.48	0.80	0.60	7.66	2.07	1.14	2.74	2.09	0.30
blupromise.txt	1	3731	19.61	48.18	59.26	44.95	100.84	14.07	84.62	11.98	6.49	5.44	0.38	2.44	1.37	11.82	0.75	0.99	0.86	1.39	6.62	2.52	0.94	1.85	1.72	0.38
BMcGComedy.txt	1	12201	70.85	62.30	40.00	25.25	12.00	20.84	74.68	5.84	2.88	2.91	0.18	1.36	0.52	9.92	0.48	0.75	0.36	1.48	7.49	2.26	1.43	2.57	1.75	0.53
BMeadows30.txt	1	6120	42.08	47.97	66.15	26.31	39.23	14.28	80.60	6.72	3.35	3.32	0.16	1.99	0.59	10.78	0.42	0.69	1.11	1.32	7.79	2.73	1.32	2.40	2.03	0.52
BookNasty187.txt	1	15537	55.96	30.92	70.43	31.94	28.35	15.19	83.16	10.20	5.27	4.91	0.45	2.77	0.61	7.78	0.37	0.71	0.53	1.13	6.84	1.88	0.82	1.82	2.10	0.57
breeee4.txt	1	1933	44.17	29.87	90.49	80.95	7.99	12.83	85.83	8.69	5.85	2.79	0.47	1.45	0.21	7.81	0.78	0.41	0.57	0.57	8.74	2.12	1.71	1.86	3.62	0.16
brem015.txt	1	2923	34.71	45.24	45.50	93.15	35.22	16.42	77.32	9.85	7.05	2.77	0.17	1.23	0.48	8.45	0.31	0.68	0.65	0.99	4.99	1.92	0.75	1.23	1.61	0.24
brenenden.txt	1	3104	41.92	38.70	65.09	63.02	18.93	17.91	77.48	5.77	3.87	1.90	0.23	1.00	0.23	7.57	0.35	0.19	0.29	0.26	5.90	1.51	1.10	2.32	1.32	0.32
